File,Line,Status,Version,Context
./AGENTS.md,98,STALE_OR_DEP,0.9.4,"Ligges archived morie 0.9.4 and asked us to wait. Same applies"
./AGENTS.md,105,STALE_OR_DEP,0.9.4,"touch `R_user_dir()` only on explicit user opt-in. morie 0.9.4"
./AGENTS.md,138,STALE_OR_DEP,0.9.5,"- DESCRIPTION: `Version: 0.9.5.x`"
./BRANCH_PLAN.md,83,STALE_OR_DEP,4.6.1,"(L14; R 4.6.1; 2026-07-15): n=1k 1.7x faster; n=10k 0.4x; n=100k 0.7x"
./BRANCH_PLAN.md,161,STALE_OR_DEP,4.6.1,"**Benchmark** (L14; R 4.6.1; 2026-07-15): exact 0.36s vs MatchIt 0.37s"
./BRANCH_PLAN.md,197,STALE_OR_DEP,4.6.1,"**Benchmark** (L14; R 4.6.1; 2026-07-15): 1k 0.045s vs 0.62s (13.8x"
./BRANCH_PLAN.md,233,STALE_OR_DEP,4.6.1,"**Benchmark** (L14; R 4.6.1; 2026-07-15; pop 20 x 8 generations):"
./CITATION.cff,1,STALE_OR_DEP,1.2.0,"cff-version: 1.2.0"
./CITATION.cff,11,CURRENT,1.1.7,"version: 1.1.7"
./DESCRIPTION,4,CURRENT,1.1.7,"Version: 1.1.7"
./DESCRIPTION,51,STALE_OR_DEP,8.0.0,"RoxygenNote: 8.0.0"
./DESCRIPTION,53,STALE_OR_DEP,4.3.0,"R (>= 4.3.0)"
./DESCRIPTION,54,STALE_OR_DEP,4.3.0,"Note: Tested on R 4.3.0; 4.4.x; 4.5.2; 4.5.3 (CRAN). Use CRAN R on Apple"
./DESCRIPTION,54,STALE_OR_DEP,4.3.0,"Note: Tested on R 4.3.0; 4.4.x; 4.5.2; 4.5.3 (CRAN). Use CRAN R on Apple"
./DESCRIPTION,54,STALE_OR_DEP,4.3.0,"Note: Tested on R 4.3.0; 4.4.x; 4.5.2; 4.5.3 (CRAN). Use CRAN R on Apple"
./DESCRIPTION,61,STALE_OR_DEP,0.3.5,"rmoriebricklayer (>= 0.3.5);"
./DESCRIPTION,62,STALE_OR_DEP,0.2.5,"rmoriedata (>= 0.2.5)"
./DESCRIPTION,200,STALE_OR_DEP,3.0.0,"testthat (>= 3.0.0);"
./Dockerfile,19,STALE_OR_DEP,4.6.1,"FROM rocker/r-ver:4.6.1 AS builder"
./Dockerfile,82,STALE_OR_DEP,4.6.1,"FROM rocker/r-ver:4.6.1 AS runtime"
./NEWS.md,1,STALE_OR_DEP,1.1.6,"# rmorie 1.1.6 - 2026-07-22"
./NEWS.md,3,STALE_OR_DEP,1.1.6,"## Patch release: 07-22 hardening + CRAN prep (lockstep with morie 1.1.6)"
./NEWS.md,22,STALE_OR_DEP,1.1.4,"# rmorie 1.1.4 (development; feat/native-specializations)"
./NEWS.md,117,STALE_OR_DEP,1.1.4,"* Version locked in step with morie 1.1.4."
./NEWS.md,119,STALE_OR_DEP,1.1.3,"# rmorie 1.1.3 - 2026-07-15"
./NEWS.md,129,STALE_OR_DEP,1.1.3,"* Version locked in step with morie 1.1.3."
./NEWS.md,131,STALE_OR_DEP,1.1.2,"# rmorie 1.1.2"
./NEWS.md,166,STALE_OR_DEP,1.1.0,"# rmorie 1.1.0"
./NEWS.md,177,STALE_OR_DEP,1.0.5,"* No R code changes since 1.0.5; version locked with morie 1.1.0."
./NEWS.md,177,STALE_OR_DEP,1.0.5,"* No R code changes since 1.0.5; version locked with morie 1.1.0."
./NEWS.md,179,STALE_OR_DEP,1.0.5,"# rmorie 1.0.5"
./NEWS.md,204,STALE_OR_DEP,1.0.4,"# rmorie 1.0.4"
./NEWS.md,219,STALE_OR_DEP,1.0.3,"# rmorie 1.0.3"
./NEWS.md,224,STALE_OR_DEP,1.0.3,"* Version-locked with morie 1.0.3."
./NEWS.md,226,STALE_OR_DEP,1.0.2,"# rmorie 1.0.2"
./NEWS.md,231,STALE_OR_DEP,1.70.0,"introduced by {future} 1.70.0."
./NEWS.md,235,STALE_OR_DEP,1.0.1,"# rmorie 1.0.1"
./NEWS.md,245,STALE_OR_DEP,1.0.0,"# rmorie 1.0.0"
./NEWS.md,247,STALE_OR_DEP,1.0.0,"* Version 1.0.0 (first alpha); version-locked with morie 1.0.0."
./NEWS.md,247,STALE_OR_DEP,1.0.0,"* Version 1.0.0 (first alpha); version-locked with morie 1.0.0."
./NEWS.md,252,STALE_OR_DEP,0.9.9,"# rmorie 0.9.9"
./NEWS.md,254,STALE_OR_DEP,0.9.9,"* Version 0.9.9 (version-locked with morie 0.9.9)."
./NEWS.md,254,STALE_OR_DEP,0.9.9,"* Version 0.9.9 (version-locked with morie 0.9.9)."
./NEWS.md,257,STALE_OR_DEP,0.9.8,"# rmorie 0.9.8"
./NEWS.md,260,STALE_OR_DEP,0.9.8,"* Version 0.9.8 to match the morie family; source/UA URLs -> github.com/rootcoder007."
./NEWS.md,262,STALE_OR_DEP,0.9.6,"# rmorie 0.9.6 (in development)"
./NEWS.md,270,STALE_OR_DEP,0.9.5.7,"* `NEWS.md`: removed Zenodo DOI references from the historical 0.9.5.7 changelog entry."
./NEWS.md,354,STALE_OR_DEP,0.9.5.12,"already listed in 0.9.5.12."
./NEWS.md,738,STALE_OR_DEP,0.9.5.12,"base-R by design (fwildclusterboot is GitHub-only; see 0.9.5.12"
./NEWS.md,833,STALE_OR_DEP,0.9.5.12,"# rmorie 0.9.5.12 - 2026-05-25"
./NEWS.md,854,STALE_OR_DEP,0.9.5.11,"# morie 0.9.5.11 - 2026-05-25"
./NEWS.md,867,STALE_OR_DEP,0.9.5.10,"# morie 0.9.5.10 - 2026-05-25"
./NEWS.md,911,STALE_OR_DEP,0.9.5.9,"# morie 0.9.5.9 - 2026-05-24"
./NEWS.md,950,STALE_OR_DEP,0.9.5.8,"# morie 0.9.5.8 - 2026-05-24"
./NEWS.md,1008,STALE_OR_DEP,0.9.5.7,"# morie 0.9.5.7 - 2026-05-24"
./NEWS.md,1110,STALE_OR_DEP,0.9.5.6,"# morie 0.9.5.6 - 2026-05-23"
./NEWS.md,1151,STALE_OR_DEP,0.9.5.6,"Earlier from 2026-05-22 marathon (already in 0.9.5.6 in tree):"
./NEWS.md,1164,STALE_OR_DEP,0.9.5.6,"# morie 0.9.5.6 - 2026-05-22"
./NEWS.md,1167,STALE_OR_DEP,0.9.5.4,"of the two parity gaps named in v0.9.5.4: the pedagogical"
./NEWS.md,1206,STALE_OR_DEP,1.0.0,"McEliece; ECC; hybrid PQC) is planned for v1.0.0. Calling into"
./NEWS.md,1207,STALE_OR_DEP,0.9.5.5,"the Python side via `reticulate` is not added in v0.9.5.5; the"
./NEWS.md,1209,STALE_OR_DEP,1.0.0,"arc and the natural place for a v1.0.0 milestone."
./NEWS.md,1211,STALE_OR_DEP,0.9.5.4,"# morie 0.9.5.4 - 2026-05-21"
./NEWS.md,1236,STALE_OR_DEP,0.9.5,"renamed in v0.9.5 (vignette `chi-square-and-anova.Rmd`)."
